"","Astro","Micro","Endo","Oligo","OPC","Inh","Exc"
"cg07680129",0,0.916666666666667,0.714285714285714,0.8,0.333333333333333,0.985365853658537,0.972303206997085
"cg24457118",0,0.714285714285714,1,0.875,1,0.960167714884696,0.99039780521262
"cg21169762",0.0357142857142857,0.666666666666667,0,1,0.846153846153846,0.983636363636364,0.979695431472081
"cg23153546",0,0.5,0.153846153846154,0.863636363636364,1,0.976315789473684,0.985714285714286
"cg09197783",0.0666666666666667,1,1,0.125,0.0769230769230769,0.979166666666667,0.984231274638633
"cg08675002",0.08,0.666666666666667,0.461538461538462,1,1,0.988614800759013,0.98406862745098
"cg09322899",0,1,0.692307692307692,0.923076923076923,1,0.966321243523316,0.968602825745683
"cg03080147",1,0.166666666666667,0.5,0.0555555555555556,0,0.00531914893617021,0.014308426073132
"cg20325850",0,1,1,0.8,0.25,0.988290398126464,0.981268011527378
"cg24447788",0.0384615384615385,1,1,0.461538461538462,0.384615384615385,0.961538461538462,0.986607142857143
"cg10600964",0,0.5,0.916666666666667,0,0,0.956818181818182,0.983655274888559
"cg00577560",0,0.833333333333333,0.375,0.5,0.272727272727273,0.912,0.984051036682616
"cg13279476",0.909090909090909,0.5,0.111111111111111,0.230769230769231,0.166666666666667,0.0160320641282565,0.00240963855421687
"cg17564203",0,0,0.571428571428571,1,0.8,0.985074626865672,0.981507823613087
"cg16264004",0.91304347826087,0.285714285714286,0.555555555555556,0,0,0.0243362831858407,0.00540540540540541
"cg21619138",0,0.5,0.941176470588235,0.916666666666667,1,0.985374771480804,0.986320109439125
"cg01286133",1,0.666666666666667,0.333333333333333,0.0769230769230769,0.0833333333333333,0.0146750524109015,0.016
"cg02331303",0,0.25,0.0588235294117647,0,0,0.975124378109453,0.967391304347826
"cg03215714",0.0476190476190476,1,0.9,1,1,0.977491961414791,0.988212180746562
"cg16323911",0,0.357142857142857,1,0.538461538461538,0.142857142857143,0.968109339407745,0.975124378109453
"cg17028595",0.12,1,0.777777777777778,0.894736842105263,0.428571428571429,0.984962406015038,0.984126984126984
"cg16848937",0,1,0.777777777777778,0.9,1,0.989208633093525,0.979487179487179
"cg24778538",1,0.833333333333333,0.833333333333333,0.571428571428571,0.285714285714286,0.00963391136801541,0.00235849056603774
"cg04016621",0.107142857142857,1,0.888888888888889,0.75,0.888888888888889,0.961340206185567,0.967796610169491
"cg06585203",0.0384615384615385,0,0.555555555555556,0.615384615384615,0.636363636363636,0.946327683615819,0.984051036682616
"cg12045002",0.875,0,0.0833333333333333,0,0,0.0250569476082005,0.0162721893491124
"cg18813159",0.037037037037037,0.857142857142857,0.363636363636364,0.8,0.333333333333333,0.917040358744395,0.982945736434109
"cg14746605",0.0476190476190476,1,0.833333333333333,0.96,0.916666666666667,0.975190839694656,0.980093676814988
"cg06289802",0.05,0.818181818181818,1,1,1,0.990740740740741,0.979299363057325
"cg04700474",0,0.888888888888889,0.833333333333333,0.863636363636364,0.9,0.982658959537572,0.994949494949495
"cg16210719",0,0.857142857142857,0.75,0,0,0.984520123839009,0.985748218527316
"cg24941703",0.142857142857143,0.75,0.866666666666667,1,1,0.962085308056872,0.973293768545994
"cg07230359",0.0454545454545455,0.571428571428571,0.666666666666667,0.611111111111111,1,0.979057591623037,0.984509466437177
"cg07841059",0.0416666666666667,1,1,0.153846153846154,0,0.972636815920398,0.990668740279938
"cg23641597",0,0.666666666666667,0.875,0.818181818181818,0.666666666666667,0.980830670926518,0.986301369863014
"cg21454777",0.136363636363636,1,0.916666666666667,0.941176470588235,1,0.984126984126984,0.989247311827957
"cg02810375",1,0.5,1,0,0,0.0252631578947368,0.00262123197903014
"cg06887778",0.0454545454545455,1,0.923076923076923,0.625,0.727272727272727,0.973262032085562,0.98021582733813
"cg18697991",0,0.833333333333333,0.75,0.952380952380952,1,0.98469387755102,0.985436893203884
"cg20278154",0,0,0,1,0.222222222222222,0.971751412429379,0.984126984126984
"cg26470958",0.0434782608695652,0.9,0.818181818181818,0.733333333333333,0.666666666666667,0.956611570247934,0.974789915966387
"cg26928877",0.0434782608695652,0.333333333333333,0.9,0.631578947368421,1,0.975232198142415,0.976377952755906
"cg25868694",0.0454545454545455,0.888888888888889,1,0.818181818181818,1,0.949317738791423,0.981640146878825
"cg04784499",0,1,0.333333333333333,0.909090909090909,0.2,0.9688995215311,0.991721854304636
"cg24571871",0,1,1,0.0909090909090909,0.9,0.990825688073395,0.976014760147601
"cg13367234",0,1,1,1,0,0.986460348162476,0.972255729794934
"cg01549377",0.0434782608695652,0,0,0.7,0,0.979381443298969,0.992272024729521
"cg19585797",0.125,0.9,0.8,0.533333333333333,0.666666666666667,0.991111111111111,0.980028530670471
"cg26648725",0.04,0.875,1,1,1,0.895299145299145,0.976158940397351
"cg21607700",0,1,1,0.384615384615385,0.166666666666667,0.967058823529412,0.9858934169279
"cg13083057",0,0.666666666666667,1,0.230769230769231,0,0.970588235294118,0.983481575603558
"cg11302992",0,0.833333333333333,1,1,0.833333333333333,0.98876404494382,0.984962406015038
"cg11074192",0.0869565217391304,0.625,0.888888888888889,0.529411764705882,0.166666666666667,0.986615678776291,0.983050847457627
"cg12430029",0.173913043478261,1,1,1,0.857142857142857,0.991228070175439,0.982905982905983
"cg10097755",0,1,0.888888888888889,1,1,0.974603174603175,0.991023339317774
"cg06895124",0.04,0.75,1,0.333333333333333,0.416666666666667,0.958128078817734,0.97172619047619
"cg24630825",0,0.454545454545455,0.625,0.933333333333333,0.714285714285714,0.984198645598194,0.98936170212766
"cg13063274",0,0.857142857142857,0,1,1,0.977477477477477,0.96953642384106
"cg17755082",0,0.916666666666667,0.888888888888889,0.8,1,0.956709956709957,0.970627503337784
"cg03309252",0,1,1,1,1,0.977464788732394,0.986407766990291
"cg10808195",0,0.8,0.9,0.413793103448276,0.25,0.959719789842382,0.981047937569677
"cg22729726",0,0.444444444444444,1,0.875,1,0.961098398169336,0.972779369627507
"cg06452544",0.0454545454545455,1,1,0.777777777777778,0.888888888888889,0.953246753246753,0.974803149606299
"cg17453374",0.115384615384615,0.25,0.533333333333333,0.583333333333333,0.625,0.976470588235294,0.976435935198822
"cg13832955",0.0454545454545455,0.875,0.947368421052632,0.375,0.6,0.970588235294118,0.977511244377811
"cg16397852",0,1,1,0.857142857142857,0.7,0.993197278911565,0.98015873015873
"cg24336219",0,0.857142857142857,0.4375,0.916666666666667,0.625,0.909090909090909,0.931034482758621
"cg11654413",0,0.25,0.857142857142857,0.928571428571429,0.928571428571429,0.958208955223881,0.98330241187384
"cg07719096",0.05,1,1,0.9,0.636363636363636,0.984,0.981670061099796
"cg07724304",0.142857142857143,1,0.1,0.625,0,0.977157360406091,0.983606557377049
"cg06147210",0.04,1,0.6,0.25,0,0.973913043478261,0.954293628808864
"cg12488274",0,1,0.833333333333333,0.571428571428571,0.888888888888889,0.972972972972973,0.967370441458733
"cg06617692",0.296296296296296,1,1,0.9375,1,0.996175908221797,0.983965014577259
"cg06545200",0,0.833333333333333,1,0.538461538461538,0.875,0.967741935483871,0.979655712050078
"cg19507725",0.12,0.857142857142857,0.857142857142857,0.611111111111111,0.75,0.963800904977376,0.979289940828402
"cg11169848",0,0.5,0.636363636363636,1,0.888888888888889,0.975369458128079,0.981099656357388
"cg10367409",0.125,1,1,1,1,0.988538681948424,0.96085409252669
"cg01764161",0,0.9,0.769230769230769,0.666666666666667,1,0.96078431372549,0.96078431372549
"cg11511084",0,1,0.25,0.9,0.545454545454545,0.971084337349398,0.984177215189873
"cg09270255",0.958333333333333,0.75,0.857142857142857,0.928571428571429,0.416666666666667,0.0516129032258065,0.0161691542288557
"cg26029221",0,1,1,0.666666666666667,0.8,0.983870967741935,0.981132075471698
"cg10541843",0.958333333333333,0.6,0.846153846153846,0.636363636363636,0.916666666666667,0.0319829424307036,0.0220588235294118
"cg04451839",0.0588235294117647,1,1,1,1,0.984939759036145,0.99151103565365
"cg07659529",0,0.6,0.875,0.8,0.272727272727273,0.955882352941177,0.990424076607387
"cg18135683",0,0.272727272727273,1,0.785714285714286,0.909090909090909,0.995495495495496,0.98326359832636
"cg26624673",0.05,1,0.833333333333333,0.916666666666667,0.875,0.983333333333333,0.970049916805324
"cg02399831",0.05,0.666666666666667,0.777777777777778,0.85,1,0.970654627539503,0.985739750445633
"cg06600331",0.105263157894737,0.833333333333333,1,1,1,0.989795918367347,0.985739750445633
"cg12491643",0,0.857142857142857,0.888888888888889,0.111111111111111,0,0.983914209115281,0.986842105263158
"cg18238808",0.0952380952380952,0.857142857142857,1,1,1,0.966966966966967,0.987730061349693
"cg18866597",0,1,0.9,0.928571428571429,1,0.97,0.976859504132231
"cg18276155",0,0.833333333333333,1,1,1,0.869127516778524,0.94392523364486
"cg06182121",0.0909090909090909,0.642857142857143,1,1,1,0.964187327823691,0.984375
"cg03101058",0,0.857142857142857,0.833333333333333,0.1,0.5,0.967391304347826,0.992792792792793
"cg26283507",0,0.888888888888889,1,0.285714285714286,0,0.983471074380165,0.925925925925926
"cg04502852",0,0,0,0.941176470588235,0.428571428571429,0.960674157303371,0.957377049180328
"cg17559156",0.0952380952380952,1,1,0.95,0.666666666666667,0.975103734439834,0.976388888888889
"cg10630085",0,0.8,0.857142857142857,0.769230769230769,0.333333333333333,0.959893048128342,0.937614678899083
"cg18101140",0.0476190476190476,0.1,0.636363636363636,0.8,1,0.987212276214834,0.976449275362319
"cg00503690",0,1,1,0.925925925925926,0.888888888888889,0.982926829268293,0.967213114754098
"cg12192582",1,0,1,1,1,0.98804780876494,0.991620111731844
"cg00407537",0.95,0,1,0.933333333333333,1,0.985790408525755,0.98505603985056
