"","Astro","Micro","Endo","Oligo","OPC","Inh","Exc"
"cg13129833",0.0102040816326531,0.979381443298969,0.803921568627451,0.89419795221843,0.909090909090909,0.88,0.409836065573771
"cg13204462",0.0444444444444444,1,1,1,1,1,1
"cg27362167",0,1,1,0.915492957746479,0.888888888888889,0.977272727272727,1
"cg20035206",0.0232558139534884,0.970588235294118,0.923076923076923,0.963636363636364,1,0.963636363636364,1
"cg03046233",0.0212765957446809,0.961538461538462,0.666666666666667,0.947916666666667,0.9,0.975,1
"cg13367234",0.0185185185185185,1,0.416666666666667,0.959459459459459,0,0.982456140350877,0.941860465116279
"cg08943316",0.0714285714285714,0.9,0.933333333333333,1,1,0.973684210526316,0.978260869565217
"cg27580173",0,1,1,1,1,1,0.980769230769231
"cg15095654",0.0256410256410256,0.977272727272727,0.857142857142857,0.966666666666667,1,0.959183673469388,0.985714285714286
"cg26215343",0,1,1,1,1,0.974358974358974,0.974358974358974
"cg06271020",0.0487804878048781,0.96969696969697,1,1,1,0.972222222222222,0.966101694915254
"cg08898515",0,0.962962962962963,0.80952380952381,0.914285714285714,1,0.980392156862745,0.859375
"cg23131909",0.0612244897959184,0.945945945945946,0.375,0.939024390243902,0.954545454545455,0.964912280701754,0.983333333333333
"cg00648203",0,0.92,0.909090909090909,0.953488372093023,0.923076923076923,0.891891891891892,0.970588235294118
"cg20652681",0.025,0.967741935483871,0.769230769230769,0.969387755102041,1,0.958333333333333,0.980769230769231
"cg17616230",0.0285714285714286,0.956521739130435,1,1,1,1,1
"cg15036118",0.0545454545454545,1,0.222222222222222,0.964912280701754,1,1,0.957746478873239
"cg14765220",0,0.96875,0.615384615384615,0.924528301886792,0.75,1,0.986301369863014
"cg26908895",0,0.878048780487805,1,0.873015873015873,0.857142857142857,0.980769230769231,0.982758620689655
"cg17247149",0,1,0.882352941176471,1,0.9,1,0.938775510204082
"cg14518607",0,0.96969696969697,1,0.96078431372549,0.75,0.952380952380952,0.962962962962963
"cg00546101",0.0212765957446809,1,0.95,0.857142857142857,0.6,0.96551724137931,0.978723404255319
"cg02194396",1,0.428571428571429,0.7,0,0,0,0.0357142857142857
"cg13971793",0.0377358490566038,0.982758620689655,1,0.77,0.555555555555556,0.940298507462687,0.9375
"cg09514524",0,1,1,0.916666666666667,0.916666666666667,0.972222222222222,0.981481481481482
"cg14110621",0,1,1,0.87037037037037,1,0.967741935483871,0.954545454545455
"cg13211024",0.0222222222222222,0.916666666666667,0.833333333333333,0.946236559139785,0.642857142857143,0.926829268292683,0.96875
